Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-04,1,ADBL,237.40,228.00,237.40,228.00,530,"121,182",5,237.40(13.4) ,224.00,228.65,307.70,223.00,"31,934.27"
2024-03-04,2,AHL,463.40,429.70,463.40,429.70,130,"57,560",9,463.40(42.1) ,421.30,442.77,504.00,273.10,"1,575.56"
2024-03-04,3,AHPC,193.80,179.70,193.80,179.70,"14,812","2,838,539.1",52,193.80(17.6) ,176.20,191.64,316.00,176.00,"7,240.22"
2024-03-04,4,AKJCL,217.00,215.70,232.60,215.70,"4,000","917,947",21,217.00(5.5) ,211.50,229.49,250.00,141.30,"1,736.00"
2024-03-04,5,AKPL,188.00,177.40,191.40,177.40,"17,823","3,370,905.1",66,188.00(14) ,174.00,189.13,422.00,152.40,"7,324.37"
2024-03-04,6,ALBSL,657.90,645.00,657.90,645.00,20,"13,029",2,657.90(25.5) ,632.40,651.45,903.10,543.00,"4,221.19"
2024-03-04,7,ALICL,575.00,556.80,577.00,556.80,"13,653","7,846,690",40,575.00(29.1) ,545.90,574.72,812.00,517.50,"19,549.06"
2024-03-04,8,ANLB,"1,989.20","1,950.20","1,989.20","1,950.20",20,"39,394",2,"1,989.20(77.2) ","1,912.00","1,969.70","2,651.00",403.80,"1,364.03"
2024-03-04,9,API,193.30,179.00,193.30,179.00,"23,832","4,583,978.6",75,193.30(17.5) ,175.80,192.35,269.00,154.70,"11,185.49"
2024-03-04,10,AVYAN,601.60,601.60,601.60,601.60,10,"6,016",1,601.60(11.7) ,589.90,601.60,807.80,549.00,"1,504.00"
2024-03-04,11,BARUN,266.00,247.10,266.00,247.10,"5,000","1,305,300",10,266.00(23.7) ,242.30,261.06,299.00,191.10,"1,425.27"
2024-03-04,12,BBC,"4,080.00","4,080.00","4,080.00","4,080.00",10,"40,800",1,"4,080.00(80) ","4,000.00","4,080.00","4,539.00","3,050.00","2,004.91"
2024-03-04,13,BEDC,361.30,334.00,361.30,334.00,"1,580","569,871",10,361.30(27.3) ,334.00,360.68,412.90,170.00,"1,965.66"
2024-03-04,14,BFC,338.40,325.30,338.40,325.30,"2,000","662,180",6,338.40(19.4) ,319.00,331.09,377.00,284.00,"2,892.70"
2024-03-04,15,BGWT,599.00,576.00,599.00,576.00,240,"138,700",5,599.00(34) ,565.00,577.92,710.00,352.00,"3,426.67"
2024-03-04,16,BHDC,461.70,443.90,461.70,443.90,50,"22,603",5,461.70(26.5) ,435.20,452.06,523.00,286.50,"4,847.85"
2024-03-04,17,BHL,344.00,319.00,344.00,319.00,"1,080","370,905",9,344.00(31.2) ,312.80,343.43,394.00,192.70,"6,288.22"
2024-03-04,18,BHPL,521.80,483.80,521.80,483.80,50,"25,150",5,521.80(47.4) ,474.40,503.00,572.00,304.10,"1,304.50"
2024-03-04,19,BNHC,480.00,469.20,487.00,469.20,305,"145,962",4,480.00(20) ,460.00,478.56,511.90,270.10,"1,920.00"
2024-03-04,20,BNL,"23,290.60","23,290.60","23,290.60","23,290.60",10,"232,906",1,"23,290.60(456.6) ","22,834.00","23,290.60","23,765.60","2,222.20","45,390.75"
2024-03-04,21,BNT,"16,344.40","15,710.00","16,344.40","15,710.00",130,"2,105,014",10,"16,344.40(942.4) ","15,402.00","16,192.42","17,508.00","10,500.00","19,776.72"
2024-03-04,22,BPCL,329.00,304.90,329.00,304.90,370,"119,488",9,329.00(28) ,301.00,322.94,365.00,292.10,"11,215.82"
2024-03-04,23,BPW,"1,284.00","1,235.00","1,284.00","1,235.00",80,"100,027",3,"1,284.00(71.9) ","1,212.10","1,250.34","1,718.00",233.10,385.20
2024-03-04,24,CBBL,841.50,825.00,858.00,825.00,"1,050","882,480",10,841.50(32.5) ,809.00,840.46,"1,052.50",727.00,"25,052.90"
2024-03-04,25,CFCL,347.00,327.40,347.00,327.40,"2,730","939,193",11,347.00(26) ,321.00,344.03,423.00,275.50,"3,292.60"
2024-03-04,26,CGH,876.90,827.00,876.90,827.00,920,"783,484",21,876.90(65.9) ,811.00,851.61,"1,520.00",796.20,"13,452.44"
2024-03-04,27,CHCL,491.60,464.70,491.60,464.70,419,"200,935.8",11,491.60(36) ,455.60,479.56,594.00,452.10,"39,249.33"
2024-03-04,28,CHDC,990.00,961.00,990.00,961.00,"1,379","1,354,070",11,990.00(47.8) ,942.20,981.92,"1,217.20",681.20,"8,310.16"
2024-03-04,29,CHL,309.00,287.60,309.00,287.60,380,"113,991",6,309.00(27) ,282.00,299.98,343.00,194.10,"1,195.76"
2024-03-04,30,CIT,"2,181.00","2,093.00","2,181.00","2,093.00",245,"527,805",5,"2,181.00(129) ","2,052.00","2,154.31","2,704.00","1,850.00","115,892.90"
2024-03-04,31,CITY,601.00,581.00,601.00,581.00,50,"29,586",5,601.00(31.2) ,569.80,591.72,782.50,111.10,"10,060.74"
2024-03-04,32,CKHL,643.00,632.10,657.00,632.10,"1,807","1,159,391",29,643.00(23.2) ,619.80,641.61,686.80,300.00,"2,572.00"
2024-03-04,33,CLI,445.00,429.40,454.00,429.40,"3,985","1,792,467",31,445.00(24) ,421.00,449.80,567.00,375.00,"17,521.88"
2024-03-04,34,CORBL,432.50,416.10,432.50,416.10,50,"21,128",5,432.50(24.5) ,408.00,422.56,475.00,277.80,"2,270.63"
2024-03-04,35,CYCL,"1,279.00","1,205.40","1,279.00","1,181.30","1,253","1,534,301",33,"1,279.00(49) ","1,230.00","1,224.50","1,560.00",882.00,"3,407.57"
2024-03-04,36,CZBIL,169.90,163.00,169.90,163.00,"6,900","1,145,920",12,169.90(8.9) ,161.00,166.08,207.80,156.80,"24,127.45"
2024-03-04,37,DDBL,754.00,740.00,754.00,740.00,152,"113,180",4,754.00(25) ,729.00,744.61,913.00,606.70,"11,695.21"
2024-03-04,38,DHPL,197.60,193.80,197.60,193.80,30,"5,890",3,197.60(7.6) ,190.00,196.33,242.00,134.00,521.66
2024-03-04,39,DLBS,842.50,826.00,842.50,826.00,20,"16,685",2,842.50(32.5) ,810.00,834.25,"1,035.00",579.00,"1,121.37"
2024-03-04,40,DOLTI,384.70,356.80,384.70,356.80,"1,510","580,049",13,384.70(34.8) ,349.90,384.14,450.00,177.40,"2,063.86"
2024-03-04,41,DORDI,501.80,447.90,501.80,447.90,"8,954","4,410,416.9",42,501.80(44.8) ,457.00,492.56,576.00,191.60,"5,290.28"
2024-03-04,42,EBL,524.00,503.80,524.00,503.80,30,"15,416",3,524.00(30) ,494.00,513.87,633.00,448.00,"61,663.82"
2024-03-04,43,EDBL,348.00,341.80,348.00,341.80,20,"6,898",2,348.00(12.9) ,335.10,344.90,399.70,266.40,"4,348.94"
2024-03-04,44,EHPL,454.00,436.00,454.00,436.00,60,"26,480",4,454.00(24.1) ,429.90,441.33,500.00,273.00,"2,814.80"
2024-03-04,45,ENL,754.80,754.80,754.80,754.80,10,"7,548",1,754.80(14.8) ,740.00,754.80,"1,060.00",572.00,"4,193.67"
2024-03-04,46,FMDBL,616.00,581.00,616.00,581.00,410,"244,020",10,616.00(46.1) ,569.90,595.17,781.00,497.20,"7,600.37"
2024-03-04,47,FOWAD,"1,039.00","1,019.00","1,039.00","1,019.00",542,"552,574",5,"1,039.00(39.4) ",999.60,"1,019.51","1,493.00",974.00,"10,967.31"
2024-03-04,48,GBBL,378.00,357.90,379.40,357.90,"4,134","1,529,958",14,378.00(27.1) ,350.90,370.09,432.40,336.00,"21,472.36"
2024-03-04,49,GBIME,195.80,183.00,195.80,183.00,"1,780","332,892",12,195.80(14.4) ,181.40,187.02,241.90,176.00,"70,740.13"
2024-03-04,50,GBLBS,551.40,540.60,551.40,540.60,20,"10,920",2,551.40(21.4) ,530.00,546.00,673.00,427.00,"5,417.51"
2024-03-04,51,GCIL,526.00,497.70,527.00,497.70,"12,317","6,394,427.4",58,526.00(38) ,488.00,519.15,614.00,363.10,"24,026.03"
